,resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,average_cadence,average_watts,max_watts,weighted_average_watts,kilojoules,device_watts,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state
0,2,Afternoon Run,11278.2,3285,3293,78.0,Run,Run,,8333272215,2023-01-03T19:22:44Z,2023-01-03T14:22:44Z,(GMT-05:00) America/New_York,-18000.0,,,United States,0,8,0,3,0,False,False,False,False,everyone,False,,"[43.35068863816559, -73.67898370139301]","[43.35059601813555, -73.67854834534228]",3.433,4.9,85.0,277.1,365.0,277.0,910.2,True,True,158.8,182.0,False,True,137.0,97.0,8936056483,8936056483,449032750477901824.fit,False,0,0,False,24403919,1,a8333272215,uuqgGdwt`M?o@E]K[s@eA]o@q@{@i@}@o@kA]cAi@mAc@iA[}Ae@eDOu@AiAOmBB{ACqBD{AL_A@UEgAW{A@OR]tAo@p@ItB]hBMfGu@jBKr@Ip@Mj@AbJmAlBMxAUJ?`@LVBDJ?VMlA?`@HZRNHBVAt@K~ANdABpBTnA\dCLr@RjAVxATr@FX@jAEb@@fBYrB{@dAk@j@_@p@o@lAwAjBeC~@_BfCmDrAuBzB{CjDkFlA_Br@gAfBcCz@aB`B{BhAyA|@{AjBoDp@eAd@cAv@sATk@Ta@h@w@bB}CbAcB~@mBt@iAx@{Ad@m@BYDI`@i@pA}B~AuCt@}Az@wAl@iAb@o@z@aBz@sAhCaFpA{Bx@qA`@w@hB{BhAgA`AeArBgB^i@TUbEqDvAyAd@a@LSkB~BmEdDqDtDg@`@wAtAo@x@o@n@i@~@i@t@i@dAqAlBMXYz@i@x@}@nBi@v@_@v@a@j@g@`Ay@lA{@xA_AlBk@z@iBbDq@`AWz@eBdCw@~AiAdB{@fBwBdEyAnB]t@Yt@w@bAm@lA_AjAk@nA_CdE_BzBq@x@mBhC_A|AkHlKkAfBiA~A}@fAa@n@}A|Bk@fAm@t@gBzAuBpAwAl@uATo@DyABaBIcCa@yAQk@OyBIq@QqBSu@MyAE}A?KEIIEK@gAD}@CIICgMlAc@HoBTwBJkC^s@F}@Ni@DkATuD\_BTyARc@RIHCLANVfBHbCC`CBtAAp@Bn@F`@NfCTdAF`Af@pCt@bCrAbDt@rAbBfCj@hA,2
1,2,Afternoon Weight Training,0.0,1585,1585,0.0,WeightTraining,WeightTraining,,8328477816,2023-01-02T22:14:35Z,2023-01-02T17:14:35Z,(GMT-05:00) Canada/Eastern,-18000.0,,,United States,0,1,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,,,,,,,True,126.5,168.0,False,True,,,8930634345,8930634345,449011868378365953.fit,False,0,0,False,24403919,1,a8328477816,,2
2,2,Afternoon Run,8871.6,2538,3045,76.0,Run,Run,,8328477934,2023-01-02T21:06:19Z,2023-01-02T16:06:19Z,(GMT-05:00) America/New_York,-18000.0,,,United States,0,5,0,3,0,False,False,False,False,everyone,False,,"[43.35823771543801, -73.69915165007114]","[43.35814601741731, -73.69890664704144]",3.496,7.9,84.7,275.6,556.0,263.0,699.4,True,True,155.1,184.0,False,True,164.0,122.0,8930634358,8930634358,449011868378365952.fit,False,0,0,False,24403919,1,a8328477934,sksgGdty`Ms@JgABoATIFCLIl@KZOTIDSBeCDqAI{@OsEgAiE{@g@UqA_@mEcAiBi@qCaAs@e@o@EgDoAcAg@aAk@gC_AmAi@SMOWG_@CuAKqBYaC@ODIr@e@zAiBZg@Na@Rs@FgARoAd@iBhAeDn@mA^iAv@}AL]^gBRy@\mDhAwEX_ATaAl@gBT}@NW\]d@]b@Uv@UXCr@CdAD`B?~@Bz@AxBFn@Cp@Ij@@p@AhAQlABf@Sf@K`@QXWb@m@v@_AnA{@RIb@Kb@IbGe@bDgAVAx@LRATIlCwBrAi@^U|@y@H?FDZd@RJb@Bb@I^QpA{@\]x@iAj@o@^Ut@YbA{@P[b@qA^m@Tg@Pe@t@yCFIHAHDHJf@|@ZnAX`Fj@rFDtAf@jId@zBd@zAR~@PtANzBLbApAtETdBf@bB@NANaDbGqAnB_BvBaFhGmDnFq@nAe@bAyE~G_AbAoAfBg@l@eGxHsAfAiBbAkA\aA^gF~Ag@DKAc@QK?a@Dm@SKAgCRe@CKEUOYc@Sk@Kq@KaCAoAGyBB_@FULQHIXKh@IfGq@bBMJ@HHFb@JhCBlAHpAPbD@b@CNELIHIDcCNoBTK@ICGKCOCg@Fc@FMZObAQb@Uf@G,2
3,2,Morning Run,12103.5,3389,3453,91.0,Run,Run,0.0,8326141828,2023-01-02T13:57:51Z,2023-01-02T08:57:51Z,(GMT-05:00) America/New_York,-18000.0,,,United States,0,8,0,1,0,False,False,False,False,everyone,False,,"[43.36135092191398, -73.71448433026671]","[43.35953271947801, -73.70737991295755]",3.571,4.5,84.6,285.2,374.0,286.0,966.6,True,True,162.6,187.0,False,True,207.0,128.0,8927624768,8927624768,449004881808752641.fit,False,0,0,False,24403919,1,a8326141828,oetgG|z{`Mh@_C^uBh@_AhAoA^Wl@WX?XFXDp@CREz@_@TSR[Rm@Jm@Bs@BgDN}@B_@BsBAeBZyFB}@ZgIFyBH_@Nm@LyAJ]TSXMjBi@l@Ij@MtDkAx@g@n@Wb@Wl@a@j@k@vLqO|BcDxBoD\c@l@_AvAoBz@cBzByCjFqGxBmD^{@nBmDzDqHj@}@lAyAtAuA`BwA|DwDdDqCdD{CzGaG|B{BdDwCjAkA`Ay@zAcAvBgA`A]~CqA|@[d@Iz@[dAIx@Kr@C~Ei@lBWxAa@pAo@dAu@t@m@\c@v@iAbAmB\]XEd@Bd@Jd@VNVH^TzCLz@FdBJdAJp@FJNR@LC`@Kp@ElAApDD|AEvDDlBLpAJhCNnLVvHJxA@vAEHKFeAD}@Vg@HgBLWJURSVWf@cAvCAN@v@IxACBIi@KMIGYEw@@_G\s@@]D]Lk@|@CL?xAGr@Mf@k@nAE^PlB^xHCVWl@EN@NDLr@fANZRz@PnAFbBKdB@rC@PDL`@ZFLBNDt@?bBLxCJt@Rl@f@n@l@\lA~@f@Z|@p@v@p@tBnAHHDLBPAf@sA~Im@bD}AjG}AxEg@`Ce@tAaAfDqAlD{ArEa@fAs@pCc@fA[d@WfAo@vBi@xAOXWNg@Dg@JgIv@wGp@yAH}@Nq@Bs@HuAF}@Ju@DgAN{@Fq@JwAHkAP_CPiABg@F]Ag@Ik@W{@m@s@]g@My@]uAe@}@QeAe@sDmAg@GaAW_AEKC[Qy@Qe@Gi@CYGgBgAu@SeBaAu@Us@i@g@Uk@c@}@Y]YoBkAsAkAeBaCWc@oAkBkAuAwAkBoFcGcAyAq@q@,2
4,2,Lunch Hike,10079.3,8024,9716,258.0,Hike,Hike,,8293980473,2022-12-25T16:31:09Z,2022-12-25T11:31:09Z,(GMT-05:00) America/New_York,-18000.0,,,United States,0,6,0,1,0,False,False,False,False,everyone,False,,"[43.36122100241482, -73.71462162584066]","[43.361277747899294, -73.71473494917154]",1.256,2.8,,,,,,,True,99.6,149.0,False,True,352.0,182.0,8891174194,8891174194,448843329535246336.fit,False,0,0,False,24403919,1,a8293980473,egtgGru|`MA\FnA?^OvAKfBG`@Y`A_AzBg@zAQh@GZCr@@ZHr@BpCC`@@rACz@CV?f@InB?bAEfBDfABLVh@H^Zx@n@r@b@\xAjBfAhAPXd@b@d@Z\Z`@t@jAjCLNLHp@zATZr@|Af@d@Vl@DPCHQR?Dg@ZM\i@X@NNXGTCZCLXHLLDHJ`@CZQfAQV@VENOPIPYHINo@LWNe@LCF@XOd@e@ZaAc@[DQPG?Yi@KCYWQe@ASSo@@?[KW_@i@Ie@Ja@Cm@LMCOKcAFQGK_@[BMJGB]GOBq@b@K\KFaCJgA\sAZeAPWJkBX}@KeAu@yAEKCeAEy@Kg@Bi@NKP[VIPm@n@KVYXU\]r@YNsBl@uAS}BG_@PMLUF]\_@Ne@`@_@P}AhAYh@Id@KX[^a@PYTqAVw@FaDK[@i@JiAb@_Bz@q@n@Q^a@Zc@l@s@f@gBXe@Ti@`AGVATh@tAFX@RIn@GZi@vAe@p@[pBSh@Kn@I\y@tASf@Gj@KPOb@S\m@X_@b@]HYAYLP[b@GFQCM@SCGQIBWKk@We@EU?FGBQIQUEQDGUXBKPYXB@CAGDGNGJ?D_@CW@OGK]@EM@KN[NERO?MFUBYd@QJAJMFOLGFSN@\PTEJBVy@ASBMT]`@]LWCKBi@RY@WNk@\MJIZs@h@q@bAYbAKRSRO`@g@b@a@Re@XYfBiAnB}@z@AHPA`@LY@IHEf@E|@@\Bz@I|@Sl@U^UNUJ]@[Tg@n@]RUr@i@RWVKZWRWbAk@f@Mv@AjANr@PP?t@[d@K`@SJKr@iA`@[lAsBJK\Mv@IX@n@PpABTFx@A`@Lt@h@n@N`BS|Cw@z@MHIPG|BMh@G\@j@JbAb@`@FXNTB`B_@f@U?EO[I?EGBWDGb@It@DLHPZDTA^`@dAX~@~AvALNb@`ANDXBhBSvDw@NKlA]bBm@@_@MkAIiAa@{Ai@qCE_@YmAGi@[aAmAmBq@{Ag@w@q@{Am@_AO_@_@g@Yg@W[oBgBwBoCoAuAk@cAK]KQYsAGcADoBC[JqBAe@D]C]@c@N_DE}AEe@Ou@?c@XcB^{@Po@l@oARi@^uAPeCHg@S{C,2
5,2,Afternoon Hike,5228.5,3821,3939,188.0,Hike,Hike,,8287791232,2022-12-24T18:28:02Z,2022-12-24T13:28:02Z,(GMT-05:00) America/New_York,-18000.0,,,United States,0,6,0,1,0,False,False,False,False,everyone,False,,"[43.36119099520147, -73.71468834578991]","[43.361092675477266, -73.71456337161362]",1.368,3.1,,,,,,,True,109.6,156.0,False,True,363.0,204.0,8884091549,8884091549,448802963008290817.fit,False,0,0,False,24403919,1,a8287791232,kgtgGru|`M?d@Hf@CnBS~AG|@WfAWr@eBdEObABf@N~A?^@ZI~A?hCIvBGlA?tACn@Bz@Jb@~@bC?h@^r@DRATJ@DDV|@NtA@|@C`A@XI^YVw@^QB]Lc@L_@\_@h@OLSVe@\KP?n@Bn@Ed@Dv@Ih@T\Df@CxA@\Eb@@b@YbASb@GF{@f@IR?HRAf@Jp@RVPj@Fb@RJ@ZEJFNrADdAF`@@j@[|AYdAKr@Qf@S^KFi@d@ENGFy@l@]LGDMZAP?p@BN`@Fp@j@h@NPBf@Rp@PZCf@Ur@Od@[t@Q`Aa@`@Av@IXAbDa@`AEtBYbAUtBEh@QHK@MMiAOoEAkASgA?CJK?MAWIq@AeBOkAK[Sw@Ge@M[YqAIu@e@sBa@gAU_@m@u@m@kAWYW}@]w@mAiBi@mAg@e@MEo@g@}AiBu@_AsAsAO_@[YKUMe@Uc@S}@Co@RyBAs@FwDAs@BODkA@mACaASsA?{@Lq@b@sAF]Na@H]PW\w@f@yALkBFc@DaAQuBH_B,2
6,2,Afternoon Hike,4991.1,4422,5251,172.0,Hike,Hike,,8287794178,2022-12-22T19:56:18Z,2022-12-22T14:56:18Z,(GMT-05:00) America/New_York,-18000.0,,,United States,0,6,0,1,0,False,False,False,False,everyone,False,,"[43.36144211702049, -73.71444233693182]","[43.36106266826391, -73.7145366333425]",1.129,3.0,,,,,,,True,127.1,165.0,False,True,329.0,202.0,8884094955,8884094955,448802963008290816.fit,False,0,0,False,24403919,1,a8287794178,egtgG|u|`MP~AKzA@PGTAb@Gb@A^]rAQ\WZEVMVCTu@|ACZMXCXAdADh@AZDXDx@@fABRGr@@VKfB?fAK~AAVDh@ElAJ~@FHTz@N^JJ^r@VVFRJPZVNPLFNNlA|AVRRHn@h@PJJJDNTXBFSf@QNKRc@PWFIFMKQA_ADSDQCO?UMQNm@Xc@NU?GD]Da@\INMJSf@KBw@z@CJ@HEp@@LAZDj@C^I`@P\?VHL@JAd@Kb@BJDL?TCV@`@Mz@]r@YHMLWLIJIHAH?FDBTCN@NCF@JFPDZJTJ@BPDj@VN@PIJ@BBPv@HrABJF?BDARB`@A^GPG\Kd@CF@GDGJBLHBADKRWREF@@KRMF@NJR?HELADRL@FFP`@v@ONBNCLDBHFBNAHB@DFFZBD^`@PZR@?@YTYFOZ[LA^QZCRGHQGU@KRUZST_@r@Sn@GFEH?LKPENMZIHGZBBJCLKCIM?KKEK_BCcAK]OcAMq@AUIWAYI]McAGWE]GWAOOUO_@[WMY[c@MUESe@k@Mc@w@sAKm@OWWQQm@Sa@g@m@KISWKGMUQIGGm@a@q@}@Ua@e@c@IMc@c@GMa@c@g@q@]u@W}@Mq@Ca@Ma@?kCBcAJg@A_@BQA]DgACSH[Ay@Le@I{@A_@WkB?ULm@FSD]HMD]Xg@DWLU?OJWHa@^{@DYL]Je@@QPmAAw@@m@Ec@@q@Ig@F_@Dk@,2
7,2,I’ve never called a run short because of a fall…,6798.0,1891,1891,65.0,Run,Run,0.0,8268377894,2022-12-19T20:44:30Z,2022-12-19T15:44:30Z,(GMT-05:00) America/New_York,-18000.0,,,United States,0,6,4,1,0,False,False,False,False,everyone,False,,"[43.42840187251568, -73.71329560875893]","[43.42419097200036, -73.71512160636485]",3.595,4.7,85.8,291.0,448.0,294.0,550.2,True,True,159.3,193.0,False,True,134.0,102.0,8862367829,8862367829,448687016876474368.fit,False,0,1,False,24403919,1,a8268377894,es`hGzu{`MNw@FGHBDJPv@Dt@HLHFpAj@f@AJBj@^JDd@?JD`@\TL\Dh@EV@^TRRLTHDHBbACv@WNMTWd@gA`@q@fA_ClAaB|@mB\a@Xa@fA{BNk@x@wAZ_@jA{BpFcL~A{CL]h@mBZ}CFcDAsBFuBa@iAUaAIa@Iu@EsB?gEJ{Al@qD`@aAJKbAk@VGnAMrCk@dAMbAStAKdAUj@S|C]f@Kp@E`AOrCWtA@zALjD`@fBj@fBr@h@H\Jb@FJDJHFL@NEb@_ApBWbAENOxA[vAO\o@`AUVy@n@WLm@VaAh@e@Xm@j@s@`@a@ZsAn@eBbAmAn@y@l@IHGNANHb@nAzEdAvEZbBdAlEz@hEA`@CNENW`@OTa@Zm@l@[d@k@d@[f@I^?t@DpBHbCLzBFLHJd@Xj@h@HLBLCLKDM@qAHwDp@yElAo@Vs@\}Bp@oE~@}Dl@gAZm@JgCl@kFxAUL]b@WNu@NmANKDELANBrD?FGJIFYJQBi@Bo@@gBP,2
8,2,Afternoon Run,14508.0,4279,4649,77.0,Run,Run,,8260480862,2022-12-17T19:57:15Z,2022-12-17T14:57:15Z,(GMT-05:00) America/New_York,-18000.0,,,United States,0,6,0,1,0,False,False,False,False,everyone,False,,"[43.36152761243284, -73.71425466611981]","[43.361707739531994, -73.70788492262363]",3.391,4.8,85.0,271.1,384.0,269.0,1160.2,True,True,154.0,186.0,False,True,199.0,133.0,8853399490,8853399490,448639617623687169.fit,False,0,0,False,24403919,1,a8260480862,{dtgGvx{`MNe@NyARcAXm@\]h@Ul@q@|@a@d@?v@PTAf@_@ZEvAYDGOo@Cg@NyEHaABgAFc@RYJGVGXBbAZx@`@Xj@FHf@`@VJ`@n@pAlArAbBNH\HHHlAxAb@`@bArAd@b@jDdFpBlCbAfAp@h@~AdAj@Pb@Tx@Zv@h@pAl@b@ZhAr@p@XXFz@d@fAb@h@NZFlADbANd@NfAZh@VzDpAr@NhA\t@\bBj@NJj@j@pAj@RPRXj@|BVjBJhAz@vE^|Ar@nBdAzBh@z@hAlArBtAzB|@dAr@XNb@Jb@RjAr@fBn@~@h@`Bp@zA`@b@HbCl@tAPnB\dFbB`B|@fBx@jFtCtB|@pAp@dBt@~BnA~@\tBfAxAp@j@\dBp@XDv@HdCEbBIbBQHEBG?_@_@uCOyCAw@Gm@GmAO{BOmAEw@MkACcAUiCEcAK{AMeGBaBAcBM{D?_CCq@?yAEy@GcIGeBCyFEkC@c@GaAG}BKaIC_FG{BSeG?eACaAAsAGgACkCIe@Sq@Ue@a@o@}AyA{@o@oA{AwAaAi@e@cAq@IIMYG_@Ds@?a@@O\_Bb@aDXeC@y@Mg@C[BKd@i@LYJs@PaBV{@T_B?[CIIG]KCK`@a@f@OFGDMNwAp@{Ez@kH?QAq@NaB@a@EkHK[[c@{@{@CMC]CMOK[Ke@CyB?eALy@Bo@COFm@d@w@TgFNgAHUDa@Ro@bAE\DtAA^I\g@|@Qd@C^TrCPhDD`BEZY\CLANL\j@|@Xp@Pf@L|@H`BIrD@~A@NFL`@VFJBPHjC@tBTdBRl@^l@d@V`BfAt@^tAbAjAjA|@b@B@@LSxAAdACXiA|H{@bDc@nB]lA_@zAkAhDa@xAYnAe@vA{@tCm@xAi@tB]z@mAtDe@hB]t@o@hCaA|CQTm@^c@JmBT}@DsBXw@BcHv@yAH{D`@yAFcBNuDd@eCNmATeA?qBLs@HWAYMSQg@WqB{@wAe@_E{AsC_AqA_@_HiAi@M[MgB}@yC_BsAe@a@Qu@i@sCyAyAkAaCoC{@yAqBkCo@aAuAeByCcDe@a@q@y@eBgB[Y_@i@IGs@i@s@_@q@c@e@Mi@CS?UFGJELKr@GJGD,2
9,2,Morning Trail Run,26471.7,11509,12555,860.0,Run,TrailRun,0.0,8256040136,2022-12-16T15:47:14Z,2022-12-16T10:47:14Z,(GMT-05:00) America/New_York,-18000.0,,,United States,0,13,1,1,0,False,False,False,False,everyone,False,,"[43.36116710677743, -73.71449262835085]","[43.361449325457215, -73.71427662670612]",2.3,5.0,79.3,223.3,473.0,238.0,2570.1,True,True,148.1,181.0,False,True,637.0,99.0,8848363227,8848363227,448614345801236481.fit,False,0,0,False,24403919,1,a8256040136,egtgGlt|`MJnDi@nDwBfFu@nCXnEe@pK?lD~@xD`BzBr@^fC~CfAp@bBjD|GbLZbA`BpLVfDUZkDl@oHnBoDuCa@q@QcBm@c@iEbAeDgAoAI{NdCm@CiBcA{FAeA|@uC`EcCt@aEk@wHpFKfAi@r@}Bt@gILmEfC}CzCkC~@i@n@Sx@uAIy@]]gD}EgK@cA|@o@D[Km@kAwBsDw@qB?}BgFyB_CgAeBuAcAo@oCaAwBgBgB}AaCe@Uk@}A{CyAkBGqB{@iAsDkB}BTgDKe@kAs@AiByAWoAoAq@_BDqCuAkAiAUaDnC[tAcAf@qE\oLzDqFz@[\[dBy@bAgAf@iAHc@n@WlBNbIm@xF_@x@sCnCo@xARfFcAfDgAbBo@Bg@q@_@pEUNo@UQNNlCdAlGx@dAEzA^~BK`@g@A{@s@{AqCc@d@q@dBiAlAUnDeAT}AjAuCLsAhAo@P_BUgAhAqANuBpC]JcAtA_Ar@_@bBsDbES^Ar@_AdDq@jAAfBMd@q@l@o@nAqAj@sBnCKWLy@aBu@s@yAe@HkAi@yAoCc@a@QgAq@_BkB}@uAMyAPcDbAmDb@_@`@_Bf@SRC^n@rA`BfF\dBHhAKrC]`@eEKmAPWQcBjAy@tDs@`@{CgA}AQoDyDk@qCgDVgDsEaAx@D~@K^qBr@SKsAaBQyAL}@OV]cAuAWa@u@TcDk@H_@eAVc@fAi@[aBm@Om@u@w@_@IkANa@]]cAcEMcDxAsBFmAdAqBv@s@ZmC^cIt@yHG[LaBUoB][b@m@v@?KuAOg@Xu@D}@EkCf@gOKwEFg@Mw@Jy@UkBRq@{@sCkA_Pa@kA?cHiAiAcFsB[c@rC_UG]gAa@Ok@r@mEAc@iE{AqGw@g@uFVk@p@c@hDKfYhJ`JbCjCR`Gg@~_@sIjJyCrHkAlU}B`HgBx@e@hC}CzDmG^gAzFwItB_CbAe@`DSnBb@`B@bD]~E?zGcCrHiA^s@x@h@tK~@rA_AlBiCrCiAfF]bQoCnBe@tBuAnBWbEc@zBp@|EKrBq@jGs@fIyD`C}AjDuA|JwAhC@xDc@dEsBpJeEdBsAdCb@nDkBFHcArAf@xEZv@DnAzAp@~@HjAdA~HzCbExB~RrFpIjA~D@^QZw@h@EGjGuA`^iJxBmCXsBGSZi@nInBtChAj@i@`D,2
